"Date and time","Volumetric humidity(S1)",temperature(S1),"Dew point(S1)","Humidity deficit(S1)","Relative humidity(S1)","Soil Electronic Conductivity(S2)","soil vwc(S2)",Thermister(S2)
2024-09-17T16:00:00+0900,10.4,12.1,11.6,0.4,96.6,0.3,26.1,18.9
2024-09-17T15:50:00+0900,10.2,12,11.3,0.5,95.9,0.3,26.2,18.9
2024-09-17T15:40:00+0900,10.4,12.3,11.7,0.5,95.9,0.3,26.3,18.9
2024-09-17T15:30:00+0900,10.5,12.4,11.8,0.5,95.9,0.3,26.3,18.9
2024-09-17T15:20:00+0900,10.4,12.2,11.6,0.4,96.7,0.3,26.2,18.9
2024-09-17T15:10:00+0900,10.3,11.9,11.4,0.3,97.1,0.3,26.2,18.9
2024-09-17T15:00:00+0900,10.4,12.2,11.6,0.5,95.8,0.3,26.2,18.9
2024-09-17T14:50:00+0900,10.3,12.1,11.5,0.4,96.5,0.3,26.2,18.9
2024-09-17T14:40:00+0900,10.2,11.8,11.4,0.3,97.2,0.3,26.3,18.9
2024-09-17T14:30:00+0900,10.1,11.6,11.2,0.3,97.4,0.3,26.3,18.9
2024-09-17T14:20:00+0900,9.9,11.5,10.9,0.4,96.3,0.3,26.2,18.9
2024-09-17T14:10:00+0900,10,11.7,11.1,0.5,95.9,0.3,26.2,18.9
2024-09-17T14:00:00+0900,10.1,11.7,11.2,0.4,96.4,0.3,26.3,18.9
2024-09-17T13:50:00+0900,10.1,12,11.2,0.6,95.1,0.3,26.2,18.9
2024-09-17T13:40:00+0900,10.3,12.3,11.5,0.6,94.8,0.3,26.3,18.9
2024-09-17T13:30:00+0900,10.4,12.5,11.7,0.6,94.9,0.3,26.2,18.9
2024-09-17T13:20:00+0900,10.4,12.4,11.7,0.5,95.3,0.3,26.1,18.9
2024-09-17T13:10:00+0900,10.3,12.2,11.5,0.5,95.5,0.3,26.2,18.9
2024-09-17T13:00:00+0900,10.4,12.4,11.6,0.5,95.3,0.3,26.2,18.9
2024-09-17T12:50:00+0900,10.4,12.6,11.7,0.7,94.3,0.3,26.2,18.9
2024-09-17T12:40:00+0900,10.4,12.6,11.7,0.7,93.9,0.3,26.3,18.9
2024-09-17T12:30:00+0900,10.4,12.8,11.7,0.8,93.2,0.3,26.2,18.9
2024-09-17T12:20:00+0900,10.5,12.9,11.9,0.8,93.2,0.3,26.1,18.9
2024-09-17T12:10:00+0900,10.7,13.3,12.1,0.9,92.1,0.3,26.1,18.9
2024-09-17T12:00:00+0900,10.6,13.2,12,0.9,92.1,0.3,26.3,18.9
2024-09-17T11:50:00+0900,10.5,13.3,11.9,1,91.5,0.3,26.3,18.9
2024-09-17T11:40:00+0900,10.7,13.7,12.2,1.1,90.8,0.3,26.3,18.9
2024-09-17T11:30:00+0900,10.8,13.8,12.3,1.1,90.7,0.3,26.2,18.9
2024-09-17T11:20:00+0900,10.9,14.1,12.4,1.3,89.3,0.3,26.2,18.9
2024-09-17T11:10:00+0900,10.9,14.3,12.5,1.4,89.1,0.3,26.2,18.9
2024-09-17T11:00:00+0900,11,14.5,12.6,1.4,88.6,0.3,26.2,18.8
2024-09-17T10:50:00+0900,11,14.5,12.6,1.5,88.4,0.3,26.1,18.8
2024-09-17T10:40:00+0900,11.1,14.8,12.7,1.6,87.7,0.3,26.3,18.8
2024-09-17T10:30:00+0900,11.1,14.9,12.8,1.7,87.1,0.3,26.2,18.8
2024-09-17T10:20:00+0900,11.3,15.3,13,1.9,86,0.3,26.3,18.8
2024-09-17T10:10:00+0900,11.4,15.4,13.2,1.8,86.4,0.3,26.2,18.8
2024-09-17T10:00:00+0900,11.4,15.7,13.3,2,85.3,0.3,26.3,18.8
2024-09-17T09:50:00+0900,11.5,15.9,13.4,2,85.3,0.3,26.1,18.8
2024-09-17T09:40:00+0900,11.6,16,13.5,2.1,84.9,0.3,26.3,18.7
2024-09-17T09:30:00+0900,11.7,16.2,13.6,2.1,84.7,0.3,26.3,18.7
2024-09-17T09:20:00+0900,11.7,16.2,13.6,2.1,84.7,0.3,26.2,18.7
2024-09-17T09:10:00+0900,11.8,16.4,13.8,2.2,84.4,0.3,26.3,18.6
2024-09-17T09:00:00+0900,11.7,15.9,13.7,1.8,86.7,0.3,26.2,18.6
2024-09-17T08:50:00+0900,11.8,15.7,13.7,1.6,88.1,0.3,26.2,18.6
2024-09-17T08:40:00+0900,11.8,15.4,13.7,1.4,89.6,0.3,26.4,18.6
2024-09-17T08:30:00+0900,11.7,15.3,13.6,1.4,89.5,0.3,26.3,18.6
2024-09-17T08:20:00+0900,11.7,15.5,13.7,1.5,88.9,0.3,26.2,18.6
2024-09-17T08:10:00+0900,11.7,15.6,13.6,1.6,88.3,0.3,26.3,18.5
2024-09-17T08:00:00+0900,11.5,15.5,13.4,1.7,87.3,0.3,26.2,18.5
2024-09-17T07:50:00+0900,11.4,15.3,13.2,1.7,87.2,0.3,26.2,18.5
2024-09-17T07:40:00+0900,11.1,15.3,12.9,1.9,85.6,0.3,26.2,18.4
2024-09-17T07:30:00+0900,11.3,15.5,13.1,2,85.2,0.3,26.2,18.4
2024-09-17T07:20:00+0900,11.1,15.5,12.8,2.1,84.1,0.3,26.2,18.4
2024-09-17T07:10:00+0900,11.3,16.1,13.2,2.4,82.7,0.3,26.3,18.4
