"Date and time","Solar radiation (W/m2)(A1)"
2024-09-25T18:00:00+0900,0
2024-09-25T17:50:00+0900,0
2024-09-25T17:40:00+0900,0
2024-09-25T17:30:00+0900,0
2024-09-25T17:20:00+0900,0
2024-09-25T17:10:00+0900,0
2024-09-25T17:00:00+0900,0
2024-09-25T16:50:00+0900,0
2024-09-25T16:40:00+0900,0
2024-09-25T16:30:00+0900,0
2024-09-25T16:20:00+0900,0
2024-09-25T16:10:00+0900,0
2024-09-25T16:00:00+0900,0
2024-09-25T15:50:00+0900,0
2024-09-25T15:40:00+0900,0
2024-09-25T15:30:00+0900,0
2024-09-25T15:20:00+0900,0
2024-09-25T15:10:00+0900,0
2024-09-25T15:00:00+0900,0
2024-09-25T14:50:00+0900,0
2024-09-25T14:40:00+0900,0
2024-09-25T14:30:00+0900,0
2024-09-25T14:20:00+0900,0
2024-09-25T14:10:00+0900,0
2024-09-25T14:00:00+0900,0
2024-09-25T13:50:00+0900,0
2024-09-25T13:40:00+0900,0
2024-09-25T13:30:00+0900,0
2024-09-25T13:20:00+0900,0
2024-09-25T13:10:00+0900,0
2024-09-25T13:00:00+0900,0
2024-09-25T12:50:00+0900,0
2024-09-25T12:40:00+0900,0
2024-09-25T12:30:00+0900,0
2024-09-25T12:20:00+0900,0
2024-09-25T12:10:00+0900,0
2024-09-25T12:00:00+0900,0
2024-09-25T11:50:00+0900,0
2024-09-25T11:40:00+0900,0
2024-09-25T11:30:00+0900,0
2024-09-25T11:20:00+0900,0
2024-09-25T11:10:00+0900,0
2024-09-25T11:00:00+0900,0
2024-09-25T10:50:00+0900,0
2024-09-25T10:40:00+0900,0
2024-09-25T10:30:00+0900,0
2024-09-25T10:20:00+0900,0
2024-09-25T10:10:00+0900,0
2024-09-25T10:00:00+0900,0
2024-09-25T09:50:00+0900,0
2024-09-25T09:40:00+0900,0
2024-09-25T09:30:00+0900,0
2024-09-25T09:20:00+0900,0
2024-09-25T09:10:00+0900,0
2024-09-25T09:00:00+0900,0
2024-09-25T08:50:00+0900,0
2024-09-25T08:40:00+0900,0
2024-09-25T08:30:00+0900,0
2024-09-25T08:20:00+0900,0
2024-09-25T08:10:00+0900,0
2024-09-25T08:00:02+0900,0
2024-09-25T08:00:00+0900,0
2024-09-25T07:50:00+0900,0
2024-09-25T07:40:00+0900,0
2024-09-25T07:30:00+0900,0
2024-09-25T07:20:00+0900,0
2024-09-25T07:10:00+0900,0
2024-09-25T07:00:02+0900,0
2024-09-25T07:00:00+0900,0
2024-09-25T06:50:00+0900,0
2024-09-25T06:40:00+0900,64
2024-09-25T06:30:00+0900,42
2024-09-25T06:20:00+0900,0
2024-09-25T06:10:00+0900,38
2024-09-25T06:00:00+0900,166
2024-09-25T05:50:00+0900,186
2024-09-25T05:40:00+0900,204
2024-09-25T05:30:00+0900,262
2024-09-25T05:20:00+0900,266
2024-09-25T05:10:00+0900,286
2024-09-25T05:00:03+0900,294
2024-09-25T05:00:00+0900,296
2024-09-25T04:50:00+0900,298
2024-09-25T04:40:00+0900,308
2024-09-25T04:30:00+0900,314
2024-09-25T04:20:00+0900,322
2024-09-25T04:10:00+0900,326
