"Date and time","Volumetric humidity(S1)",temperature(S1),"Dew point(S1)","Humidity deficit(S1)","Relative humidity(S1)","Soil Electronic Conductivity(S1)","Soil Electronic Conductivity(S2)","soil vwc(S1)","soil vwc(S2)","Solar radiation (W/m2)(A1)",Thermister(S1),Thermister(S2)
2024-08-12T04:00:00+0900,,,,,,65.5,3.8,2.2,15.2,438,15.6,13.2
2024-08-12T03:50:00+0900,,,,,,65.5,3.8,2,15.3,472,15.6,13.1
2024-08-12T03:40:00+0900,,,,,,65.5,3.8,2.1,15.3,504,15.6,13.1
2024-08-12T03:30:00+0900,,,,,,65.5,3.8,2.2,15.3,538,15.6,13.1
2024-08-12T03:20:00+0900,,,,,,65.5,3.8,2.2,15.3,558,15.5,13.1
2024-08-12T03:10:00+0900,,,,,,65.5,3.8,2.1,15.3,592,15.4,13
2024-08-12T03:00:00+0900,,,,,,65.5,3.8,2.2,15.3,638,15.4,13
2024-08-12T02:50:00+0900,,,,,,65.5,3.7,2.1,15.5,630,15.3,12.9
2024-08-12T02:40:00+0900,,,,,,65.5,3.8,2.3,15.4,662,15.1,12.9
2024-08-12T02:30:00+0900,,,,,,65.5,3.7,2.1,15.5,672,15.1,12.9
2024-08-12T02:20:00+0900,,,,,,65.5,3.8,2.3,15.4,694,14.9,12.9
2024-08-12T02:10:00+0900,,,,,,65.5,3.7,2.2,15.5,724,14.8,12.9
2024-08-12T02:00:00+0900,,,,,,65.5,3.7,2.3,15.5,756,14.6,12.8
2024-08-12T01:50:00+0900,,,,,,65.5,3.7,2.3,15.5,730,14.5,12.8
2024-08-12T01:40:00+0900,,,,,,65.5,3.7,2.4,15.5,748,14.4,12.8
2024-08-12T01:30:00+0900,,,,,,65.5,3.8,2.3,15.3,752,14.2,12.8
2024-08-12T01:20:00+0900,,,,,,65.5,3.7,2.5,15.5,782,14,12.8
2024-08-12T01:10:00+0900,,,,,,65.5,3.7,2.6,15.4,914,13.8,12.8
2024-08-12T01:00:00+0900,,,,,,65.5,3.8,2.6,15.4,808,13.6,12.8
2024-08-12T00:50:00+0900,,,,,,65.5,3.7,2.7,15.6,814,13.4,12.7
2024-08-12T00:40:00+0900,,,,,,65.5,3.7,2.8,15.6,784,13.2,12.7
2024-08-12T00:30:00+0900,,,,,,65.5,3.8,2.8,15.5,794,12.9,12.7
2024-08-12T00:20:00+0900,,,,,,65.5,3.7,3,15.5,774,12.8,12.7
2024-08-12T00:10:00+0900,,,,,,65.5,3.7,3.1,15.6,770,12.5,12.7
2024-08-12T00:00:00+0900,,,,,,65.5,3.7,3.1,15.5,758,12.3,12.7
2024-08-11T23:50:00+0900,,,,,,65.5,3.7,3.2,15.6,748,12,12.7
2024-08-11T23:40:00+0900,,,,,,65.5,3.7,3.2,15.5,728,11.8,12.7
2024-08-11T23:30:00+0900,,,,,,59.9,3.7,3.4,15.6,718,11.5,12.7
2024-08-11T23:20:00+0900,,,,,,61.7,3.7,3.4,15.7,700,11.3,12.8
2024-08-11T23:10:00+0900,,,,,,60.1,3.7,3.4,15.6,678,10.9,12.8
2024-08-11T23:00:00+0900,,,,,,53.4,3.8,3.6,15.4,660,10.7,12.8
2024-08-11T22:50:00+0900,,,,,,57.2,3.7,3.5,15.5,636,10.4,12.8
2024-08-11T22:40:00+0900,,,,,,56.9,3.7,3.5,15.5,612,10.1,12.8
2024-08-11T22:30:00+0900,,,,,,54.9,3.7,3.6,15.6,586,9.9,12.8
2024-08-11T22:20:00+0900,,,,,,51.4,3.8,3.7,15.5,558,9.6,12.8
2024-08-11T22:10:00+0900,,,,,,48.8,3.8,3.8,15.5,528,9.4,12.8
2024-08-11T22:00:00+0900,,,,,,51.1,3.8,3.7,15.4,502,9.2,12.9
2024-08-11T21:50:00+0900,,,,,,51.7,3.7,3.7,15.5,470,8.9,12.9
2024-08-11T21:40:00+0900,,,,,,49.2,3.8,3.8,15.4,438,8.8,12.9
2024-08-11T21:30:00+0900,,,,,,45,3.7,4,15.5,406,8.6,12.9
2024-08-11T21:20:00+0900,,,,,,47.7,3.8,3.9,15.5,372,8.4,12.9
2024-08-11T21:10:00+0900,,,,,,43.4,3.7,4,15.6,330,8.4,13
2024-08-11T21:00:00+0900,,,,,,44.9,3.8,4,15.5,306,8.3,13
2024-08-11T20:50:00+0900,,,,,,44.6,3.7,4,15.6,274,8.2,13
2024-08-11T20:40:00+0900,,,,,,42.4,3.8,4.1,15.4,244,8.1,13.1
2024-08-11T20:30:00+0900,,,,,,46.7,3.7,3.9,15.5,214,8.1,13.1
2024-08-11T20:20:00+0900,,,,,,47,3.8,3.9,15.5,182,8.1,13.1
2024-08-11T20:10:00+0900,,,,,,44.9,3.8,4,15.5,154,8.2,13.1
2024-08-11T20:00:00+0900,,,,,,47.1,3.8,3.9,15.4,124,8.2,13.1
2024-08-11T19:50:00+0900,,,,,,44.5,3.7,4,15.6,96,8.3,13.1
2024-08-11T19:40:00+0900,,,,,,46.6,3.7,3.9,15.5,70,8.3,13.2
2024-08-11T19:30:00+0900,,,,,,42.6,3.7,4.1,15.5,48,8.3,13.2
2024-08-11T19:20:00+0900,,,,,,44.3,3.8,4,15.5,26,8.4,13.2
2024-08-11T19:10:00+0900,,,,,,46.5,3.8,3.9,15.5,6,8.4,13.3
2024-08-11T19:00:00+0900,,,,,,44.5,3.8,4,15.5,2,8.5,13.3
2024-08-11T18:50:00+0900,,,,,,46.4,3.8,3.9,15.4,0,8.6,13.3
2024-08-11T18:40:00+0900,,,,,,47.1,3.8,3.9,15.4,0,8.6,13.3
2024-08-11T18:30:00+0900,,,,,,46.6,3.7,3.9,15.5,0,8.6,13.3
2024-08-11T18:20:00+0900,,,,,,46.7,3.7,3.9,15.6,0,8.6,13.4
2024-08-11T18:10:00+0900,,,,,,46.8,3.8,3.9,15.4,0,8.7,13.4
2024-08-11T18:00:00+0900,,,,,,46.5,3.8,3.9,15.5,0,8.8,13.4
