"Date and time","Soil Electronic Conductivity(S1)","Soil Electronic Conductivity(S2)","soil vwc(S1)","soil vwc(S2)","Solar radiation (W/m2)(A1)",Thermister(S1),Thermister(S2)
2024-09-28T18:00:00+0900,51.5,2.8,3.6,14.3,0,16.3,19.3
2024-09-28T17:50:00+0900,51.7,2.8,3.6,14.4,0,16.3,19.3
2024-09-28T17:40:00+0900,51.8,2.8,3.6,14.3,0,16.3,19.3
2024-09-28T17:30:00+0900,52,2.8,3.6,14.3,0,16.4,19.4
2024-09-28T17:20:00+0900,52.2,2.8,3.6,14.4,0,16.4,19.4
2024-09-28T17:10:00+0900,54.9,2.8,3.5,14.2,0,16.5,19.4
2024-09-28T17:00:00+0900,54.7,2.8,3.5,14.3,0,16.6,19.4
2024-09-28T16:50:00+0900,58.2,2.8,3.4,14.3,0,16.6,19.4
2024-09-28T16:40:00+0900,55.1,2.9,3.5,14.2,0,16.6,19.4
2024-09-28T16:30:00+0900,58.2,2.8,3.4,14.3,0,16.7,19.5
2024-09-28T16:20:00+0900,55.3,2.9,3.5,14.2,0,16.8,19.5
2024-09-28T16:10:00+0900,55.4,2.8,3.5,14.3,0,16.8,19.5
2024-09-28T16:00:00+0900,55.4,2.9,3.5,14.2,0,16.9,19.6
2024-09-28T15:50:00+0900,58.4,2.8,3.4,14.3,0,16.9,19.6
2024-09-28T15:40:00+0900,58.4,2.9,3.4,14.1,0,16.9,19.6
2024-09-28T15:30:00+0900,58.8,2.9,3.4,14.2,0,17,19.6
2024-09-28T15:20:00+0900,56.1,2.9,3.5,14.1,0,17.1,19.6
2024-09-28T15:10:00+0900,58.7,2.9,3.4,14.1,0,17.1,19.6
2024-09-28T15:00:00+0900,55.7,2.9,3.5,14.2,0,17.2,19.7
2024-09-28T14:50:00+0900,59.2,2.9,3.4,14.1,0,17.3,19.7
2024-09-28T14:40:00+0900,58.8,2.9,3.4,14.2,0,17.3,19.7
2024-09-28T14:30:00+0900,62.8,2.9,3.3,14.1,0,17.4,19.7
2024-09-28T14:20:00+0900,62.5,2.9,3.3,14,0,17.4,19.8
2024-09-28T14:10:00+0900,59,2.9,3.4,14,0,17.5,19.8
2024-09-28T14:00:00+0900,62.7,2.9,3.3,14.1,0,17.5,19.8
2024-09-28T13:50:00+0900,62.8,2.9,3.3,14.1,0,17.6,19.8
2024-09-28T13:40:00+0900,65.5,2.9,3.2,14.1,0,17.6,19.8
2024-09-28T13:30:00+0900,65.5,2.9,3.2,14,0,17.7,19.8
2024-09-28T13:20:00+0900,62.6,2.9,3.3,14,0,17.8,19.8
2024-09-28T13:10:00+0900,65.5,3,3.2,13.9,0,17.8,19.9
2024-09-28T13:00:00+0900,65.5,2.9,3.1,14,0,17.9,19.9
2024-09-28T12:50:00+0900,65.5,2.9,3.1,14.1,0,17.9,19.9
2024-09-28T12:40:00+0900,65.5,3,3.2,13.9,0,18,19.9
2024-09-28T12:30:00+0900,65.5,3,3.1,14,0,18.1,19.9
2024-09-28T12:20:00+0900,65.5,3,3.1,13.9,0,18.1,19.9
2024-09-28T12:10:00+0900,65.5,3,3,13.8,0,18.3,19.9
2024-09-28T12:00:00+0900,65.5,3,3,13.9,0,18.3,19.9
2024-09-28T11:50:00+0900,65.5,2.9,3,14,0,18.4,20
2024-09-28T11:40:00+0900,65.5,3,3,13.9,0,18.5,20
2024-09-28T11:30:00+0900,65.5,3,2.9,13.9,0,18.6,20
2024-09-28T11:20:00+0900,65.5,3,2.8,13.9,0,18.6,20
2024-09-28T11:10:00+0900,65.5,3,2.8,13.9,0,18.7,20
2024-09-28T11:00:00+0900,65.5,3,2.7,13.8,0,18.8,20.1
2024-09-28T10:50:00+0900,65.5,3,2.7,14,0,18.9,20.1
2024-09-28T10:40:00+0900,65.5,3,2.5,13.9,0,18.9,20.1
2024-09-28T10:30:00+0900,65.5,3,2.5,13.9,0,19.1,20.1
2024-09-28T10:20:00+0900,65.5,3,2.4,13.9,0,19.1,20.1
2024-09-28T10:10:00+0900,65.5,3,2.4,13.8,0,19.3,20.1
2024-09-28T10:00:00+0900,65.5,3,2.4,13.9,0,19.3,20.1
2024-09-28T09:50:00+0900,65.5,3,2.4,13.9,0,19.4,20.1
2024-09-28T09:40:00+0900,65.5,3,2.3,13.8,0,19.6,20.1
2024-09-28T09:30:00+0900,65.5,3,2.3,13.9,0,19.7,20.1
2024-09-28T09:20:00+0900,65.5,3,2.4,13.9,0,19.8,20.1
2024-09-28T09:10:00+0900,65.5,3,2.3,14,0,19.9,20.1
2024-09-28T09:00:00+0900,65.5,3,2.4,13.9,0,20,20.1
2024-09-28T08:50:00+0900,65.5,3,2.3,13.9,0,20.1,20.1
2024-09-28T08:40:00+0900,65.5,3,2.2,14,0,20.2,20.1
2024-09-28T08:30:00+0900,65.5,3,2.1,14,0,20.3,20.1
2024-09-28T08:20:00+0900,65.5,3,2.1,14,0,20.4,20.1
2024-09-28T08:10:00+0900,65.5,3,2,14,0,20.5,20.1
2024-09-28T08:00:00+0900,65.5,3,1.9,14,0,20.6,20.1
2024-09-28T07:50:00+0900,65.5,2.9,1.9,14.1,0,20.7,20.1
2024-09-28T07:40:00+0900,65.5,3,1.7,14,0,20.8,20.1
2024-09-28T07:30:00+0900,65.5,3,1.8,14,0,20.9,20.1
2024-09-28T07:20:00+0900,65.5,3,1.7,14,0,21.1,20
2024-09-28T07:10:00+0900,65.5,2.9,1.7,14.1,0,21.2,20
2024-09-28T07:00:00+0900,65.5,3,1.7,14,0,21.3,20
2024-09-28T06:50:00+0900,65.5,3,1.7,14.1,0,21.4,20
2024-09-28T06:40:00+0900,65.5,2.9,1.7,14.1,4,21.5,19.9
2024-09-28T06:30:00+0900,65.5,2.9,1.6,14.1,22,21.6,19.9
2024-09-28T06:20:00+0900,65.5,2.9,1.5,14.2,46,21.8,19.9
2024-09-28T06:10:00+0900,65.5,2.9,1.6,14.1,18,21.9,19.9
2024-09-28T06:00:00+0900,65.5,2.9,1.5,14.2,22,22,19.9
2024-09-28T05:50:00+0900,65.5,2.9,1.5,14.2,26,22.1,19.9
2024-09-28T05:40:00+0900,65.5,2.8,1.5,14.3,32,22.2,19.8
2024-09-28T05:30:00+0900,65.5,2.9,1.5,14.2,44,22.3,19.8
2024-09-28T05:20:00+0900,65.5,2.9,1.4,14.2,294,22.3,19.8
2024-09-28T05:10:00+0900,65.5,2.8,1.5,14.3,402,22.4,19.8
2024-09-28T05:00:00+0900,65.5,2.8,1.5,14.3,404,22.4,19.8
2024-09-28T04:50:00+0900,65.5,2.8,1.5,14.3,414,22.4,19.7
2024-09-28T04:40:00+0900,65.5,2.8,1.4,14.5,452,22.4,19.7
2024-09-28T04:30:00+0900,65.5,2.8,1.5,14.4,490,22.4,19.6
2024-09-28T04:20:00+0900,65.5,2.8,1.5,14.5,528,22.4,19.6
2024-09-28T04:10:00+0900,65.5,2.8,1.4,14.4,592,22.4,19.6
2024-09-28T04:00:00+0900,65.5,2.8,1.5,14.5,632,22.5,19.6
2024-09-28T03:50:00+0900,65.5,2.8,1.4,14.5,640,22.5,19.6
2024-09-28T03:40:00+0900,65.5,2.8,1.4,14.6,668,22.5,19.5
2024-09-28T03:30:00+0900,65.5,2.8,1.5,14.5,72,22.5,19.5
2024-09-28T03:20:00+0900,65.5,2.8,1.5,14.6,732,22.4,19.5
2024-09-28T03:10:00+0900,65.5,2.8,1.5,14.6,790,22.4,19.4
2024-09-28T03:00:00+0900,65.5,2.8,1.5,14.7,784,22.4,19.4
2024-09-28T02:50:00+0900,65.5,2.8,1.5,14.7,840,22.3,19.4
2024-09-28T02:40:00+0900,65.5,2.8,1.5,14.6,936,22.2,19.4
2024-09-28T02:30:00+0900,65.5,2.8,1.5,14.7,1090,22.1,19.4
2024-09-28T02:20:00+0900,65.5,2.8,1.6,14.7,716,22,19.4
2024-09-28T02:10:00+0900,65.5,2.9,1.6,14.7,474,21.9,19.4
2024-09-28T02:00:00+0900,65.5,2.9,1.6,14.7,370,21.8,19.3
2024-09-28T01:50:00+0900,65.5,2.8,1.6,14.8,390,21.7,19.3
2024-09-28T01:40:00+0900,65.5,2.9,1.7,14.7,388,21.5,19.3
2024-09-28T01:30:00+0900,65.5,2.9,1.8,14.7,432,21.3,19.3
2024-09-28T01:20:00+0900,65.5,2.9,1.9,14.7,1256,21.1,19.3
2024-09-28T01:10:00+0900,65.5,2.9,1.9,14.8,496,21,19.3
2024-09-28T01:00:00+0900,65.5,2.9,2,14.8,1372,20.8,19.3
2024-09-28T00:50:00+0900,65.5,2.8,2,14.9,714,20.7,19.3
2024-09-28T00:40:00+0900,65.5,2.9,2.1,14.8,522,20.6,19.3
2024-09-28T00:30:00+0900,65.5,2.9,2.3,14.9,496,20.4,19.3
2024-09-28T00:20:00+0900,65.5,2.9,2.3,14.9,544,20.3,19.3
2024-09-28T00:10:00+0900,65.5,2.9,2.4,14.9,512,20.2,19.3
2024-09-28T00:00:00+0900,65.5,2.9,2.4,14.9,490,20.1,19.3
2024-09-27T23:50:00+0900,65.5,2.9,2.6,14.9,550,20,19.3
2024-09-27T23:40:00+0900,65.5,2.9,2.6,14.8,342,19.9,19.3
2024-09-27T23:30:00+0900,65.5,2.9,2.8,14.9,288,19.8,19.3
2024-09-27T23:20:00+0900,65.5,2.8,2.8,15.1,368,19.6,19.3
2024-09-27T23:10:00+0900,65.5,2.9,2.9,15,466,19.5,19.2
2024-09-27T23:00:00+0900,65.5,2.9,2.8,15.1,332,19.3,19.3
2024-09-27T22:50:00+0900,65.5,2.9,2.7,15.1,568,19.2,19.3
2024-09-27T22:40:00+0900,65.5,2.9,2.8,15,310,19,19.3
2024-09-27T22:30:00+0900,65.5,2.9,2.9,15.1,276,18.9,19.3
2024-09-27T22:20:00+0900,65.5,2.9,2.9,15,964,18.8,19.3
2024-09-27T22:10:00+0900,65.5,2.9,2.9,15.1,432,18.7,19.3
2024-09-27T22:00:00+0900,65.5,2.9,3,15.1,366,18.6,19.3
2024-09-27T21:50:00+0900,65.5,2.9,3.2,15.1,198,18.4,19.3
2024-09-27T21:40:00+0900,65.5,3,3.2,14.9,278,18.3,19.3
2024-09-27T21:30:00+0900,65.5,2.9,3.1,15.1,286,18.2,19.3
2024-09-27T21:20:00+0900,65.5,2.9,3.1,15.1,320,18.1,19.3
2024-09-27T21:10:00+0900,65.5,2.9,3.2,15.2,322,18,19.3
2024-09-27T21:00:00+0900,65.5,3,3.2,15.1,304,17.9,19.3
2024-09-27T20:50:00+0900,65.5,3,3.2,15.1,252,17.9,19.3
2024-09-27T20:40:00+0900,65.5,3,3.2,15.1,192,17.9,19.3
2024-09-27T20:30:00+0900,65.5,2.8,3.2,15.6,196,17.8,19.3
2024-09-27T20:20:00+0900,65.5,2.9,3.2,15.2,148,17.8,19.4
2024-09-27T20:10:00+0900,65.5,3,3.2,15.1,120,17.8,19.4
2024-09-27T20:00:00+0900,65.5,3,3.2,15.1,100,17.8,19.4
2024-09-27T19:50:00+0900,65.5,3,3.3,15.2,76,17.8,19.4
2024-09-27T19:40:00+0900,65.5,3,3.2,15.1,70,17.8,19.4
2024-09-27T19:30:00+0900,65.5,3,3.2,15.1,66,17.8,19.4
2024-09-27T19:20:00+0900,65.5,3,3.2,15.1,62,17.8,19.4
2024-09-27T19:10:00+0900,65.5,3,3.2,15.2,58,17.8,19.4
2024-09-27T19:00:00+0900,65.5,3,3.1,15.1,46,17.8,19.4
2024-09-27T18:50:00+0900,65.5,3,3.2,15.2,20,17.8,19.4
2024-09-27T18:40:00+0900,65.5,3,3.2,15.1,12,17.8,19.4
2024-09-27T18:30:00+0900,65.5,3,3.2,15.1,6,17.8,19.4
2024-09-27T18:20:00+0900,65.5,3,3.2,15.1,2,17.9,19.5
2024-09-27T18:10:00+0900,65.5,3,3.3,15.2,0,17.9,19.5
2024-09-27T18:00:00+0900,65.5,2.9,3.1,15.3,0,17.9,19.5
2024-09-27T17:50:00+0900,65.5,3,3.2,15.2,0,17.9,19.5
2024-09-27T17:40:00+0900,65.5,3,3.3,15.1,0,17.9,19.5
2024-09-27T17:30:00+0900,65.5,3,3.2,15.1,0,18,19.5
2024-09-27T17:20:00+0900,65.5,3,3.2,15.3,0,18,19.5
2024-09-27T17:10:00+0900,65.5,3,3.2,15.2,0,18,19.6
2024-09-27T17:00:00+0900,65.5,3,3.2,15.2,0,18.1,19.6
2024-09-27T16:50:00+0900,65.5,3,3.1,15.3,0,18.1,19.6
