"Date and time","Volumetric humidity(S1)",temperature(S1),"Dew point(S1)","Humidity deficit(S1)","Relative humidity(S1)","Soil Electronic Conductivity(S2)","soil vwc(S2)",Thermister(S2)
2024-08-28T15:00:00+0900,8.4,12.3,8.5,2.5,77.6,0.3,26.4,15.3
2024-08-28T14:50:00+0900,8.4,12.4,8.5,2.5,77.1,0.3,26.5,15.3
2024-08-28T14:40:00+0900,8.5,12.6,8.7,2.6,77.1,0.3,26.5,15.3
2024-08-28T14:30:00+0900,8.6,12.5,8.8,2.5,77.9,0.3,26.6,15.3
2024-08-28T14:20:00+0900,8.5,12.5,8.6,2.5,77.2,0.3,26.4,15.3
2024-08-28T14:10:00+0900,8.5,12.6,8.7,2.6,77.2,0.3,26.5,15.3
2024-08-28T14:00:00+0900,8.6,12.6,8.8,2.5,77.5,0.3,26.6,15.3
2024-08-28T13:50:00+0900,8.6,12.8,8.9,2.6,77.3,0.3,26.6,15.3
2024-08-28T13:40:00+0900,8.6,12.9,8.8,2.7,76.4,0.3,26.6,15.3
2024-08-28T13:30:00+0900,8.7,12.8,9,2.5,78.1,0.3,26.6,15.3
2024-08-28T13:20:00+0900,8.8,12.7,9.2,2.4,78.9,0.3,26.5,15.3
2024-08-28T13:10:00+0900,8.9,12.7,9.4,2.2,80.1,0.3,26.5,15.3
2024-08-28T13:00:00+0900,9,12.6,9.5,2.1,81.4,0.3,26.5,15.3
2024-08-28T12:50:00+0900,9,12.6,9.5,2,81.7,0.3,26.6,15.3
2024-08-28T12:40:00+0900,9.1,12.6,9.7,2,82.1,0.3,26.5,15.3
2024-08-28T12:30:00+0900,9.2,12.6,9.8,1.9,83.2,0.3,26.6,15.2
2024-08-28T12:20:00+0900,9.2,12.5,9.8,1.9,83.4,0.3,26.6,15.2
2024-08-28T12:10:00+0900,9.2,12.4,9.8,1.8,84,0.3,26.6,15.2
2024-08-28T12:00:00+0900,9.1,12.3,9.7,1.8,84.1,0.3,26.5,15.2
2024-08-28T11:50:00+0900,9.2,12.6,9.8,1.9,83.2,0.3,26.6,15.2
2024-08-28T11:40:00+0900,9,12.6,9.5,2,81.8,0.3,26.5,15.2
2024-08-28T11:30:00+0900,8.4,13.1,8.4,3.1,73.1,0.3,26.5,15.1
2024-08-28T11:20:00+0900,8.1,13.6,7.9,3.7,68.6,0.3,26.6,15.1
2024-08-28T11:10:00+0900,8,13.6,7.8,3.8,68,0.3,26.5,15.1
2024-08-28T11:00:00+0900,8,13.3,7.7,3.6,68.8,0.3,26.6,15.1
2024-08-28T10:50:00+0900,7.9,13.8,7.7,4,66.6,0.3,26.5,15.1
2024-08-28T10:40:00+0900,7.9,13.6,7.7,3.9,67.5,0.3,26.6,15.1
2024-08-28T10:30:00+0900,7.9,13.8,7.7,4,66.5,0.3,26.5,15.1
2024-08-28T10:20:00+0900,8,13.6,7.8,3.8,68.1,0.3,26.6,15
2024-08-28T10:10:00+0900,7.9,13.5,7.6,3.9,67.3,0.3,26.5,15
2024-08-28T10:00:00+0900,7.9,13.8,7.7,4,66.5,0.3,26.5,15
2024-08-28T09:50:00+0900,7.8,14.1,7.4,4.4,64.1,0.3,26.5,15
2024-08-28T09:40:00+0900,7.6,14.6,7.2,4.9,61.2,0.3,26.5,14.9
