"Date and time","Soil Electronic Conductivity(S1)","Soil Electronic Conductivity(S2)","soil vwc(S1)","soil vwc(S2)","Solar radiation (W/m2)(A1)",Thermister(S1),Thermister(S2)
2024-09-05T18:00:00+0900,65.5,4.4,3.4,15.2,0,12.6,15.1
2024-09-05T17:50:00+0900,65.5,4.4,3.4,15.2,0,12.6,15.1
2024-09-05T17:40:00+0900,65.5,4.4,3.5,15.2,0,12.6,15.1
2024-09-05T17:30:00+0900,65.5,4.3,3.5,15.3,0,12.6,15.1
2024-09-05T17:20:00+0900,65.5,4.3,3.4,15.3,0,12.6,15.2
2024-09-05T17:10:00+0900,65.5,4.3,3.6,15.3,0,12.6,15.2
2024-09-05T17:00:00+0900,65.5,4.4,3.4,15.3,0,12.6,15.2
2024-09-05T16:50:00+0900,65.5,4.4,3.5,15.3,0,12.7,15.2
2024-09-05T16:40:00+0900,65.5,4.4,3.5,15.3,0,12.7,15.2
2024-09-05T16:30:00+0900,65.5,4.3,3.4,15.4,0,12.8,15.2
2024-09-05T16:20:00+0900,65.5,4.3,3.4,15.4,0,12.8,15.2
2024-09-05T16:10:00+0900,65.5,4.3,3.4,15.5,0,12.8,15.3
2024-09-05T16:00:00+0900,65.5,4.3,3.5,15.4,0,12.9,15.3
2024-09-05T15:50:00+0900,65.5,4.3,3.5,15.4,0,12.9,15.3
2024-09-05T15:40:00+0900,65.5,4.3,3.4,15.4,0,12.9,15.3
2024-09-05T15:30:00+0900,65.5,4.3,3.4,15.4,0,13,15.3
2024-09-05T15:20:00+0900,65.5,4.4,3.4,15.4,0,13,15.3
2024-09-05T15:10:00+0900,65.5,4.3,3.4,15.5,0,13.1,15.3
2024-09-05T15:00:00+0900,65.5,4.3,3.4,15.5,0,13.1,15.3
2024-09-05T14:50:00+0900,65.5,4.3,3.4,15.5,0,13.1,15.3
2024-09-05T14:40:00+0900,65.5,4.3,3.4,15.5,0,13.1,15.3
2024-09-05T14:30:00+0900,65.5,4.3,3.4,15.5,0,13.1,15.3
2024-09-05T14:20:00+0900,65.5,4.2,3.4,15.7,0,13.1,15.3
2024-09-05T14:10:00+0900,65.5,4.3,3.3,15.6,0,13.1,15.3
2024-09-05T14:00:00+0900,65.5,4.3,3.4,15.6,0,13.1,15.3
2024-09-05T13:50:00+0900,65.5,4.3,3.4,15.6,0,13.1,15.4
2024-09-05T13:40:00+0900,65.5,4.2,3.4,15.7,0,13.1,15.4
2024-09-05T13:30:00+0900,65.5,4.2,3.4,15.8,0,13.2,15.4
2024-09-05T13:20:00+0900,65.5,4.3,3.5,15.7,0,13.2,15.4
